State,2016_in_thousands,pop_2016
Alabama,4860.545,4860545
Alaska,741.522,741522
Arizona ,6908.642,6908642
Arkansas ,2988.231,2988231
California ,39296.476,39296476
Colorado,5530.105,5530105
Connecticut,3587.685,3587685
Delaware,952.698,952698
District of Columbia,684.336,684336
Florida ,20656.589,20656589
Georgia ,10313.62,10313620
Hawaii,1428.683,1428683
Idaho ,1680.026,1680026
Illinois,12835.726,12835726
Indiana,6634.007,6634007
Iowa ,3130.869,3130869
Kansas,2907.731,2907731
Kentucky,4436.113,4436113
Louisiana,4686.157,4686157
Maine,1330.232,1330232
Maryland ,6024.752,6024752
Massachusetts,6823.721,6823721
Michigan,9933.445,9933445
Minnesota ,5525.05,5525050
Mississippi,2985.415,2985415
Missouri,6091.176,6091176
Montana ,1038.656,1038656
Nebraska ,1907.603,1907603
Nevada ,2939.254,2939254
New Hampshire ,1335.015,1335015
New Jersey,8978.416,8978416
New Mexico ,2085.432,2085432
New York ,19836.286,19836286
North Carolina,10156.689,10156689
North Dakota ,755.548,755548
Ohio,11622.554,11622554
Oklahoma ,3921.207,3921207
Oregon,4085.989,4085989
Pennsylvania,12787.085,12787085
Rhode Island,1057.566,1057566
South Carolina,4959.822,4959822
South Dakota ,861.542,861542
Tennessee,6649.404,6649404
Texas ,27904.862,27904862
Utah,3044.321,3044321
Vermont,623.354,623354
Virginia,8414.38,8414380
Washington,7280.934,7280934
West Virginia ,1828.637,1828637
Wisconsin ,5772.917,5772917
Wyoming,584.91,584910
,,
,,
