State,Rank in Spending,Spending per pupil ($'s),Total Funding,Funding State Sources,Funding Local Sources,Total Expenditures ,Current Spending
New York,1,20645.00,54144067000,3.18011E+11,2.99009E+11,6.64838E+11,5.87179E+11
Wyoming,2,19238.00,803907000,4148764000,2652925000,7854516000,6998941000
New Jersey,3,18874.00,307320000,1613675000,573685000,2623014000,2327151000
District of Columbia,4,18069.00,1160908000,3440726000,3828455000,7984562000,7276067000
Connecticut ,5,17373.00,593656000,4122377000,668082000,5407470000,4750938000
Vermont,6,17108.00,7709079000,50904567000,27943521000,82146317000,72641244000
Alaska,7,16576.00,713914000,4365019000,4984530000,9831883000,8519780000
Massachussets ,8,16270.00,468595000,4411204000,6290634000,10529735000,9798789000
Maryland,9,15574.00,134412000,1172219000,693799000,1970124000,1845143000
Rhode Island,10,15312.00,154922000,,1174797000,1374562000,1059279000
Pennsylvania ,11,15023.00,3147329000,10963807000,14008861000,27945116000,25339845000
Hawaii ,12,14987.00,1807371000,8771192000,8821326000,19143458000,17118329000
Delaware ,13,14335.00,261131000,2710361000,59027000,2733094000,2516444000
New Hampshire ,14,13725.00,240322000,1454830000,570661000,2100980000,1971800000
Maine ,15,13666.00,2331724000,12053316000,17782793000,32148981000,29223830000
Ohio,16,12811.00,954837000,7780711000,3775458000,11314646000,9959771000
Minnesota,17,12664.00,464852000,3583134000,2596964000,6710694000,5694316000
Illinois ,18,12457.00,453922000,3949517000,1664369000,6129735000,4941714000
Wisconsin ,19,12435.00,880296000,4269100000,2595416000,7784548000,6834081000
Indiana ,20,12360.00,1021465000,3480353000,3884713000,7985236000,7305990000
Virginia ,21,12146.00,185803000,1074641000,1508332000,2631161000,2491632000
Michigan ,22,11987.00,823599000,6334951000,7246982000,13748028000,12516025000
Louisiana,23,11967.00,765043000,6770086000,9804231000,16621143000,15466496000
Kansas,24,11939.00,1552824000,10727785000,6169973000,17703640000,15860412000
Nebraska,25,11796.00,634332000,7887346000,3514594000,12646007000,10520027000
North Dakota,26,11664.00,690724000,2411621000,1641653000,4631356000,4246156000
California ,27,11588.00,924655000,4568867000,5313188000,10615933000,9417531000
Washington,28,11510.00,220340000,840804000,717033000,1858780000,1657624000
Iowa,29,11337.00,346826000,1437048000,2535960000,4619793000,3882657000
New Mexico,30,11266.00,401323000,2816911000,1262863000,4368152000,3978436000
Montana,31,11266.00,169166000,1004753000,1876384000,2958069000,2778905000
West Virginia,32,10984.00,1183917000,11676977000,16153880000,28488858000,26756822000
Georgia,33,10893.00,506995000,2591444000,666630000,3723997000,3102120000
Oregon,34,10862.00,3369803000,27437593000,35856683000,67977836000,61447337000
South carolina,35,10719.00,1557900000,8287126000,3603019000,14141312000,12917195000
North Carolina,36,10613.00,155453000,985365000,608472000,1904151000,1460308000
Missouri,37,10457.00,1680983000,9277802000,11927255000,23201744000,20561122000
Texas,38,10314.00,689756000,2909651000,2502643000,6169069000,5474468000
Nevada,39,10305.00,582560000,3861438000,2927977000,7486287000,6457713000
Colorado ,40,10171.00,1904293000,11189690000,16559741000,29021554000,26291722000
Florida,41,10098.00,175379000,940989000,1260915000,2329343000,2242317000
Kentucky ,42,10010.00,840786000,4262164000,4046626000,9135095000,7746894000
Arkansas ,43,9976.00,196644000,438629000,817151000,1473360000,1248905000
South Dakota,44,9913.00,1096182000,4395757000,4067783000,9665661000,8886616000
Alabama ,45,9636.00,5953348000,22004299000,30144398000,59129657000,45886733000
Oklahoma,46,9353.00,394060000,2533573000,2018775000,4919361000,4095444000
Mississippi,47,8919.00,111891000,1614518000,63150000,1705559000,1652676000
Arizona,48,8882.00,1058146000,6297587000,8621583000,16245529000,14752819000
Tennessee ,49,8324.00,1097684000,9211201000,4545199000,15207550000,12569546000
Idaho ,50,8141.00,358068000,1863062000,1156577000,3364357000,3167977000
Utah ,51,7954.00,782610000,5986763000,4556427000,11409377000,9959870000
,,,123012000,1175899000,743047000,2017673000,1560764000
